evt        et        eta        eta(p)     eta(f)    tanphi(p)     tanphi(f)
600   100.000000   2.100000   2.100000   2.092266   1.670658   1.670658
700   100.000000   2.100000   2.100000   2.149454   -7.364874   -7.364874
800   100.000000   2.100000   2.100000   2.087869   -0.438106   -0.438106
900   100.000000   2.100000   2.100000   2.086317   2.791507   2.791507
0   3.000000   2.500000   2.500000   2.496454   0.030376   0.030376
100   3.000000   2.500000   2.500000   2.477931   -0.352803   -0.352803
200   3.000000   2.500000   2.500000   2.490867   8.723205   8.723205
300   3.000000   2.500000   2.500000   2.508548   -1.203407   -1.203407
400   3.000000   2.500000   2.500000   2.502480   0.558935   0.558935
500   3.000000   2.500000   2.500000   2.476885   -0.219545   -0.219545
600   3.000000   2.500000   2.500000   2.502516   -0.012471   -0.012471
700   3.000000   2.500000   2.500000   2.516089   -1.334164   -1.334164
800   3.000000   2.500000   2.500000   2.479137   -2.747178   -2.747178
900   3.000000   2.500000   2.500000   2.464994   -1.512927   -1.512927
0   5.000000   2.500000   2.500000   2.500561   -0.443844   -0.443844
100   5.000000   2.500000   2.500000   2.519816   -0.025425   -0.025425
200   5.000000   2.500000   2.500000   2.493807   1.972466   1.972466
300   5.000000   2.500000   2.500000   2.520014   -0.092494   -0.092494
400   5.000000   2.500000   2.500000   2.470598   -0.221509   -0.221509
500   5.000000   2.500000   2.500000   2.491987   -0.395968   -0.395968
600   5.000000   2.500000   2.500000   2.493993   0.665710   0.665710
700   5.000000   2.500000   2.500000   2.500364   0.615886   0.615886
800   5.000000   2.500000   2.500000   2.501947   -0.472125   -0.472125
900   5.000000   2.500000   2.500000   2.509376   0.105852   0.105852
0   7.000000   2.500000   2.500000   2.506969   -0.445500   -0.445500
100   7.000000   2.500000   2.500000   2.484160   3.099041   3.099041
200   7.000000   2.500000   2.500000   2.517783   0.144929   0.144929
300   7.000000   2.500000   2.500000   2.505393   -0.351685   -0.351685
400   7.000000   2.500000   2.500000   2.477185   0.228537   0.228537
500   7.000000   2.500000   2.500000   2.485402   0.357340   0.357340
600   7.000000   2.500000   2.500000   2.479373   -0.204724   -0.204724
700   7.000000   2.500000   2.500000   2.500228   -0.526367   -0.526367
800   7.000000   2.500000   2.500000   2.490695   0.302256   0.302256
900   7.000000   2.500000   2.500000   2.491185   3.183965   3.183965
0   10.000000   2.500000   2.500000   2.487770   -1.914400   -1.914400
100   10.000000   2.500000   2.500000   2.478565   0.099048   0.099048
200   10.000000   2.500000   2.500000   2.514001   -0.989066   -0.989066
300   10.000000   2.500000   2.500000   2.518326   0.853277   0.853277
400   10.000000   2.500000   2.500000   2.497998   9.341275   9.341275
